influenced,influences,link,name
"Thorstein Veblen,George Santayana,Everett Dean Martin,Mordecai Kaplan,B. R. Ambedkar,Hu Shih,Sidney Hook,Maxine Greene,Richard McKeon,Margaret Naumburg,Hilary Putnam,Noam Chomsky,Jürgen Habermas,Richard Rorty,Cornel West,Robert E. Park,Émile Durkheim,Herbert Schneider (philosopher),C. Wright Mills","Plato,John Locke,Jean-Jacques Rousseau,Immanuel Kant,Georg Wilhelm Friedrich Hegel,Charles Darwin,Charles Sanders Peirce,Thomas Hill Green,William James,George Herbert Mead,Henry George,Lester F. Ward,Wilhelm Wundt,Francis Wayland Parker",https://en.wikipedia.org/wiki/John_Dewey,John Dewey
,,https://en.wikipedia.org/wiki/Walter_Charleton,Walter Charleton
"David Lewis (philosopher),Ted Honderich,Colin McGinn,Arda Denkel,Ramchandra Gandhi,Martin Hollis (philosopher),Robert Hanna (philosopher) (page does not exist),Keith Donnellan,Joshua Knobe,John Searle,Pierre Bourdieu","Ludwig Wittgenstein,Immanuel Kant,J. L. Austin,Bertrand Russell,A.J. Ayer,Gilbert Ryle",https://en.wikipedia.org/wiki/P._F._Strawson,P. F. Strawson
"Mario Kopić,Richard Rorty,Lorenzo Ferrero,Stefan Lorenz Sorgner,Maurizio Ferraris","Friedrich Nietzsche,Martin Heidegger,Hans-Georg Gadamer,Richard Rorty,Luigi Pareyson,John Caputo,Karl Löwith,Karl Marx",https://en.wikipedia.org/wiki/Gianni_Vattimo,Gianni Vattimo
"P. F. Strawson,John Searle,Stephen Schiffer,Dan Sperber,Deirdre Wilson,Stephen Neale,Jonathan Bennett (philosopher),Kent Bach,Ernest Lepore,Stephen C. Levinson","Aristotle,P. F. Strawson",https://en.wikipedia.org/wiki/Paul_Grice,Paul Grice
Socrates,Anaxagoras,https://en.wikipedia.org/wiki/Archelaus_(philosopher),Archelaus (philosopher)
,,https://en.wikipedia.org/wiki/Dennis_J._Schmidt,Dennis J. Schmidt
Peter Kreeft,"Aristotle,Thomas Aquinas,Nikolai Berdyaev,William James,John Locke,Jacques Maritain,John Stuart Mill,Plato",https://en.wikipedia.org/wiki/Mortimer_J._Adler,Mortimer J. Adler
,,https://en.wikipedia.org/wiki/Noam_Chomsky,Noam Chomsky
,,https://en.wikipedia.org/wiki/Xenophon,Xenophon
"Plato,Socrates",,https://en.wikipedia.org/wiki/Diotima_of_Mantinea,Diotima of Mantinea
,,https://en.wikipedia.org/wiki/J.R.R._Tolkien,J. R. R. Tolkien
,,https://en.wikipedia.org/wiki/Reinhart_Koselleck,Reinhart Koselleck
,,https://en.wikipedia.org/wiki/Prodicus,Prodicus
,,https://en.wikipedia.org/wiki/Hans_Robert_Jauss,Hans Robert Jauss
"Archelaus (philosopher),Pericles,Socrates,Protagoras","Milesian school,Parmenides",https://en.wikipedia.org/wiki/Anaxagoras,Anaxagoras
"James V. Schall,Josef Ratzinger,Seraphim Rose","Saint Augustine,Saint Thomas Aquinas,Plato,Aristotle,Goethe,C.S. Lewis,Johann Plenge,Erich Przywara",https://en.wikipedia.org/wiki/Josef_Pieper,Josef Pieper
,"John McDowell,Gareth Evans (philosopher),Daniel Dennett,Donald Davidson (philosopher),Martha Nussbaum",https://en.wikipedia.org/wiki/Louise_Antony,Louise Antony
"Bernard Williams,Candace Vogler,Michael Slote,John McDowell,Rosalind Hursthouse,Judith Jarvis Thomson","Ludwig Wittgenstein,G. E. M. Anscombe,Aristotle,Thomas Aquinas,Thomas Nagel",https://en.wikipedia.org/wiki/Philippa_Foot,Philippa Foot
Constantine Sandis,"W. D. Ross,John McDowell,David Wiggins",https://en.wikipedia.org/wiki/Jonathan_Dancy,Jonathan Dancy
,,https://en.wikipedia.org/wiki/G._K._Chesterton,G. K. Chesterton
,"Ludwig Wittgenstein,Cora Diamond,Stanley Cavell,John McDowell,Iris Murdoch,J. L. Austin",https://en.wikipedia.org/wiki/Alice_Crary,Alice Crary
,,https://en.wikipedia.org/wiki/C._Wright_Mills,C. Wright Mills
,,https://en.wikipedia.org/wiki/Herbert_Schneider_(philosopher),Herbert Schneider
,,https://en.wikipedia.org/wiki/C._S._Lewis,C. S. Lewis
,"Donald Davidson (philosopher),Jerry Fodor",https://en.wikipedia.org/wiki/Ernest_Lepore,Ernest Lepore
,,https://en.wikipedia.org/wiki/Kent_Bach,Kent Bach
,,https://en.wikipedia.org/wiki/Stephen_C._Levinson,Stephen Levinson
